,byte_length,local_time,local_energy_cpu,native_rpc_time,native_rpc_energy_fpga,native_rpc_energy_cpu,native_rpc_energy,hls_rpc_time,hls_rpc_energy_fpga,hls_rpc_energy_cpu,hls_rpc_energy
0,4,1e-06,0.003856,1.9469646820606675e-05,0.0008292008294069546,0.0005486573147463104,0.0013778581441532649,1.694673693843312e-05,0.0005827863376773034,0.0005035978918470063,0.0010863842295243098
1,4,1e-06,0.0,1.8081583943585572e-05,0.0007870150980923967,0.0006072353494259109,0.0013942504475183077,1.756989247311828e-05,0.0007108239686555625,0.0004841263440860215,0.0011949503127415841
2,4,1e-06,0.0,1.7795810866122116e-05,0.0007819452244941541,0.0005440661114373676,0.0013260113359315217,1.7507396838179942e-05,0.0006597091685778813,0.0004606067333111574,0.0011203159018890387
3,4,1e-06,0.0,1.927765354512858e-05,0.0005616824035162124,0.0005183442765161738,0.0010800266800323863,1.768890736384059e-05,0.000617634779686201,0.0004712494472255143,0.0010888842269117151
4,4,1e-06,0.032409,1.930919693371179e-05,0.0005896172353202418,0.0005400495472011431,0.001129666782521385,1.7233826215834283e-05,0.0006892036156205838,0.0004674147968152208,0.0011566184124358046
5,4,1e-06,0.0,1.903542467735181e-05,0.0008242643050215099,0.000494475806144592,0.001318740111166102,1.7191737725209736e-05,0.0006767590083894924,0.0005116203926557557,0.001188379401045248
6,4,1e-06,0.0,1.876875434019632e-05,0.0008041168146243501,0.0005603638069856046,0.0013644806216099546,1.7669894335088526e-05,0.0006934517970102838,0.0004715652542672368,0.0011650170512775206
7,4,1e-06,0.0,1.8346395875759078e-05,0.0007940892178986185,0.0005579855614875154,0.001352074779386134,1.7238196204168174e-05,0.0005953304200927411,0.0004696699936218993,0.0010650004137146404
8,4,1e-06,0.0,1.8617597229720927e-05,0.0005650027181501685,0.0005524818200435649,0.0011174845381937333,1.7204751909710273e-05,0.0006976738524533755,0.0005150981178170807,0.001212771970270456
9,4,1e-06,0.0,1.9638943440691283e-05,0.0008808322270227808,0.0005143921641791045,0.0013952243912018852,1.7616009301178502e-05,0.0006615435728504237,0.00047089152148255145,0.0011324350943329752
10,8,1e-06,0.0,1.9279197994987467e-05,0.0008381076923076923,0.0004953079429342587,0.0013334156352419512,1.7381926579990264e-05,0.0005990037718139469,0.00045387705972328447,0.0010528808315372314
11,8,1e-06,0.0,1.9416935264649918e-05,0.0005519653605685216,0.0004963845287561648,0.0010483498893246864,1.7559350307287094e-05,0.0007102094644424934,0.0004774470763827919,0.0011876565408252852
12,8,1e-06,0.0,1.9353648151732144e-05,0.0005889181343139151,0.0004967508805883492,0.0010856690149022644,1.7638621370868167e-05,0.0007582745969591138,0.0004989195152926236,0.0012571941122517375
13,8,1e-06,0.0,1.835674425435054e-05,0.0008128653168367722,0.0004727881452382701,0.0012856534620750422,1.7544220074036387e-05,0.0006777912068632783,0.0004760081931261952,0.0011537993999894735
