byte_length,setup_time,transfer_time
9324,0.000237,0.002278
9324,0.000272,0.002126
9324,0.000287,0.002134
13986,0.000289,0.002123
13986,0.000381,0.002140
13986,0.000290,0.002128
13986,0.000256,0.002216
13986,0.000220,0.002133
13986,0.000309,0.002137
13986,0.000279,0.002106
13986,0.000209,0.002133
13986,0.000209,0.002132
13986,0.000221,0.002322
20979,0.000225,0.002129
20979,0.000758,0.002146
20979,0.000228,0.002132
20979,0.000332,0.002141
20979,0.000430,0.002138
20979,0.000495,0.002138
20979,0.000806,0.002145
20979,0.000240,0.002138
20979,0.000223,0.002133
20979,0.000340,0.002151
31468,0.000260,0.002137
31468,0.000407,0.002138
31468,0.000331,0.002112
31468,0.000323,0.002199
31468,0.000644,0.002144
31468,0.000313,0.002133
31468,0.000277,0.002134
31468,0.000353,0.002226
31468,0.000536,0.002136
31468,0.000284,0.002134
47202,0.000544,0.002149
47202,0.000322,0.002138
47202,0.000448,0.002143
47202,0.000546,0.002165
47202,0.000310,0.002144
47202,0.000522,0.002168
47202,0.000422,0.002132
47202,0.000301,0.002131
47202,0.000329,0.002203
47202,0.000314,0.002177
70803,0.000470,0.002061
70803,0.000342,0.002145
70803,0.000340,0.002127
70803,0.000440,0.002149
70803,0.000462,0.002161
70803,0.000404,0.002213
70803,0.000401,0.002138
70803,0.000661,0.002216
70803,0.000330,0.002137
70803,0.000579,0.002218
106204,0.000582,0.002144
106204,0.000581,0.002150
106204,0.000977,0.002208
106204,0.000598,0.002160
106204,0.000658,0.002171
106204,0.000701,0.002152
106204,0.000724,0.002144
106204,0.000664,0.002155
106204,0.000695,0.002144
106204,0.000623,0.002233
159306,0.000527,0.002229
159306,0.000420,0.002157
159306,0.000683,0.002146
159306,0.000741,0.002151
159306,0.000646,0.002151
159306,0.000631,0.002154
159306,0.000484,0.002183
159306,0.000547,0.002146
159306,0.000738,0.002157
159306,0.000497,0.002214
238959,0.000766,0.002161
238959,0.000795,0.002130
238959,0.000743,0.002169
238959,0.000597,0.002129
238959,0.000450,0.002206
238959,0.000848,0.002161
238959,0.000579,0.002151
238959,0.000898,0.002152
238959,0.000704,0.002149
238959,0.000711,0.002119
358438,0.000934,0.002169
358438,0.000945,0.002190
358438,0.000928,0.002129
358438,0.000952,0.002170
358438,0.000840,0.002155
358438,0.000779,0.002172
358438,0.000767,0.002158
358438,0.000877,0.002165
358438,0.000772,0.002159
358438,0.000817,0.002178
537657,0.001057,0.002180
537657,0.001114,0.002210
537657,0.001212,0.002192
537657,0.001127,0.002269
537657,0.001106,0.002177
537657,0.001006,0.002228
537657,0.001019,0.002182
537657,0.001106,0.002195
537657,0.000975,0.002177
537657,0.001034,0.002166
806486,0.001252,0.002201
806486,0.001257,0.002220
806486,0.001272,0.002212
806486,0.001500,0.002205
806486,0.001469,0.002186
806486,0.001292,0.002198
806486,0.001355,0.002269
806486,0.001843,0.002452
806486,0.001247,0.002197
806486,0.001316,0.002203
1209729,0.001697,0.002249
1209729,0.002062,0.002288
1209729,0.001826,0.002260
1209729,0.001886,0.002272
1209729,0.001635,0.002264
1209729,0.001435,0.002283
1209729,0.001450,0.002263
1209729,0.001317,0.002282
1209729,0.001372,0.002258
1209729,0.001476,0.002269
1814594,0.002152,0.002336
1814594,0.001932,0.002347
1814594,0.002282,0.002367
1814594,0.002232,0.002366
1814594,0.002441,0.002467
1814594,0.002258,0.002446
1814594,0.002265,0.002355
1814594,0.002206,0.002339
1814594,0.002065,0.002346
1814594,0.002289,0.002339
2721891,0.002384,0.002401
2721891,0.003878,0.002475
2721891,0.002824,0.002449
2721891,0.002943,0.002450
2721891,0.003241,0.002403
2721891,0.002689,0.002441
2721891,0.003091,0.002497
2721891,0.003589,0.002701
